,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
3,2.6,0.47100000000000003,5.5,0.0,0.0,0.1,0.4,25.0,0.2,1.6,2.6,0.467,5.5,1.4,0.804,1.7,60.0,0.0,wallajo01,NBA,13.3,0.7,1.7,6.5,SF,0.2,1999-00,1.1,2.3,NYK,0.467
4,2.5,0.44299999999999995,5.5,0.1,0.133,0.4,0.6,26.0,0.4,1.5,2.5,0.424,5.9,0.9,0.778,1.1,40.0,0.0,wallajo01,NBA,13.2,0.6,1.8,5.9,SF,0.3,2000-01,0.9,2.1,DET,0.428
5,1.9,0.43799999999999994,4.4,0.1,0.385,0.3,0.6,27.0,0.2,1.3,2.0,0.435,4.7,0.9,0.87,1.0,46.0,0.0,wallajo01,NBA,10.7,0.6,1.3,5.0,SF,0.2,2001-02,0.6,1.8,PHO,0.446
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wallajo01,0,0.0,0.0,0.0,0.0,0,0.0,2002-03,0.0,0.0,Did Not Play (other pro league—Greece),0.0
7,1.5,0.424,3.6,0.1,0.385,0.4,0.4,29.0,0.2,1.3,1.6,0.42100000000000004,3.9,0.8,0.775,1.1,37.0,0.0,wallajo01,NBA,9.9,0.3,1.0,4.3,SF,0.1,2003-04,0.6,1.6,MIA,0.43799999999999994
0,3.8,0.513,7.4,0.4,0.32899999999999996,1.3,1.3,21.0,0.8,3.2,4.2,0.48700000000000004,8.7,1.2,0.65,1.8,65.0,51.0,wallara01,NBA,27.5,1.4,3.2,10.1,PF,0.6,1995-96,1.6,4.7,WSB,0.511
1,6.0,0.573,10.5,0.1,0.273,0.5,1.2,22.0,1.0,4.8,6.1,0.5579999999999999,11.0,2.7,0.638,4.3,62.0,56.0,wallara01,NBA,30.5,2.0,3.2,15.1,PF,0.8,1996-97,1.8,6.8,POR,0.565
2,5.9,0.5479999999999999,10.9,0.1,0.205,0.5,2.5,23.0,1.1,4.5,6.1,0.5329999999999999,11.4,2.4,0.662,3.6,77.0,77.0,wallara01,NBA,37.6,1.7,3.5,14.6,PF,1.0,1997-98,2.2,6.2,POR,0.537
3,4.7,0.515,9.1,0.3,0.419,0.6,1.2,24.0,1.1,3.8,4.9,0.508,9.7,2.7,0.732,3.7,49.0,18.0,wallara01,NBA,28.9,1.2,3.6,12.8,PF,1.0,1998-99,1.6,4.9,POR,0.522
4,6.6,0.537,12.3,0.1,0.16,0.6,1.8,25.0,1.3,5.4,6.7,0.519,12.9,2.9,0.7040000000000001,4.1,81.0,77.0,wallara01,NBA,35.1,1.6,2.7,16.4,PF,1.1,1999-00,1.9,7.0,POR,0.522
5,7.0,0.53,13.2,0.7,0.321,2.1,2.8,26.0,1.8,5.9,7.7,0.501,15.3,3.2,0.7659999999999999,4.2,77.0,75.0,wallara01,NBA,38.2,1.9,2.7,19.2,PF,1.2,2000-01,2.1,7.8,POR,0.523
6,6.2,0.504,12.3,1.4,0.36,4.0,1.9,27.0,1.3,6.4,7.6,0.469,16.3,2.5,0.7340000000000001,3.5,79.0,79.0,wallara01,NBA,37.5,1.7,2.7,19.3,PF,1.3,2001-02,1.7,8.2,POR,0.513
7,5.5,0.515,10.6,1.5,0.358,4.1,2.1,28.0,1.0,5.9,7.0,0.47100000000000003,14.8,2.7,0.735,3.7,74.0,74.0,wallara01,NBA,36.3,1.5,3.0,18.1,PF,0.9,2002-03,1.9,7.4,POR,0.521
8,5.0,0.47200000000000003,10.7,1.2,0.331,3.6,2.3,29.0,1.8,5.3,6.3,0.436,14.3,2.3,0.736,3.1,68.0,66.0,wallara01,NBA,35.1,1.5,2.8,16.0,PF,0.9,2003-04,1.8,6.8,TOT,0.478
9,5.3,0.478,11.0,1.3,0.341,3.8,2.5,29.0,1.6,5.1,6.6,0.442,14.9,2.6,0.742,3.4,45.0,44.0,wallara01,NBA,37.2,1.5,2.9,17.0,PF,0.8,2003-04,1.9,6.6,POR,0.48700000000000004
10,7.0,0.389,18.0,1.0,0.16699999999999998,6.0,2.0,29.0,5.0,5.0,8.0,0.33299999999999996,24.0,3.0,1.0,3.0,1.0,1.0,wallara01,NBA,42.0,1.0,0.0,20.0,PF,1.0,2003-04,3.0,6.0,ATL,0.354
