2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
2.8,0.51,5.5,0.1,0.19,0.3,4.0,23.0,0.1,1.8,2.8,0.494,5.8,1.2,0.772,1.6,73.0,22.0,garrito01,NBA,23.6,0.5,2.1,7.0,SG,1.2,1989-90,1.6,2.2,LAC,0.499
1.5,0.467,3.2,0.0,0.0,0.3,3.3,24.0,0.0,1.3,1.5,0.424,3.5,0.9,0.759,1.2,67.0,0.0,garrito01,NBA,14.2,0.6,1.5,3.9,SG,0.9,1990-91,1.0,1.9,LAC,0.424
1.5,0.417,3.5,0.0,0.25,0.1,2.5,25.0,0.1,1.1,1.5,0.413,3.6,0.5,0.6920000000000001,0.7,40.0,5.0,garrito01,NBA,13.7,0.3,1.4,3.4,SG,0.9,1991-92,1.1,1.4,TOT,0.416
2.3,0.478,4.8,0.0,0.0,0.1,3.3,25.0,0.1,1.7,2.3,0.473,4.9,0.5,0.625,0.8,19.0,5.0,garrito01,NBA,19.7,0.4,1.7,5.2,SG,1.1,1991-92,1.6,2.2,SAS,0.473
0.7,0.32299999999999995,2.1,0.1,0.5,0.1,1.2,25.0,0.2,0.5,0.7,0.333,2.2,0.4,0.75,0.5,15.0,0.0,garrito01,NBA,7.5,0.1,0.9,1.9,SG,0.5,1991-92,0.7,0.6,MIN,0.348
0.7,0.25,2.7,0.0,0.0,0.2,2.8,25.0,0.0,0.7,0.7,0.235,2.8,0.3,1.0,0.3,6.0,0.0,garrito01,NBA,10.5,0.3,1.2,1.7,SG,1.3,1991-92,0.7,1.0,DAL,0.235
1.6,0.51,3.1,0.0,0.0,0.0,0.3,24.0,0.2,1.3,1.6,0.51,3.1,0.8,0.794,1.0,33.0,1.0,garrijo01,NBA,8.1,1.1,1.2,4.0,PF,0.2,1983-84,0.3,2.3,CLE,0.51
0.6,0.333,1.8,0.2,0.35700000000000004,0.5,1.0,23.0,0.0,0.6,0.8,0.338,2.3,0.7,0.76,0.9,28.0,0.0,garriki01,NBA,8.0,0.1,0.8,2.4,SG,0.3,1997-98,0.5,0.7,DEN,0.377
0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,garriki01,0,0.0,0.0,0.0,0.0,0,0.0,1998-99,0.0,0.0,Did Not PlayÂ (other pro leagueâGermany),0.0
0.7,0.222,3.0,0.0,0.0,0.3,0.7,25.0,0.0,0.3,0.7,0.2,3.3,0.0,0.0,0.0,3.0,0.0,garriki01,NBA,7.7,0.0,0.0,1.3,SG,0.0,1999-00,0.3,0.3,ORL,0.2
2.0,0.513,3.9,0.2,0.389,0.5,0.5,22.0,0.1,1.3,2.2,0.5,4.4,1.0,0.7140000000000001,1.4,39.0,9.0,garripa01,NBA,13.8,0.7,1.6,5.6,PF,0.2,1998-99,0.5,1.9,PHO,0.521
2.2,0.461,4.7,1.0,0.401,2.4,0.7,23.0,0.2,2.0,3.1,0.441,7.1,1.0,0.721,1.4,82.0,1.0,garripa01,NBA,18.0,0.5,2.4,8.2,SF,0.4,1999-00,1.0,2.6,ORL,0.509
1.7,0.358,4.6,1.3,0.433,2.9,0.7,24.0,0.2,2.1,2.9,0.387,7.6,1.1,0.867,1.3,76.0,1.0,garripa01,NBA,20.8,0.7,3.2,8.3,SF,0.5,2000-01,0.9,2.8,ORL,0.471
2.0,0.426,4.6,2.1,0.4270000000000001,5.0,1.2,25.0,0.4,3.3,4.1,0.426,9.6,0.8,0.836,0.9,80.0,43.0,garripa01,NBA,30.1,1.0,2.9,11.1,PF,0.8,2001-02,0.9,4.2,ORL,0.537
1.9,0.448,4.2,2.0,0.396,5.0,1.5,26.0,0.2,2.9,3.9,0.419,9.2,1.0,0.83,1.2,81.0,53.0,garripa01,NBA,31.9,0.9,3.1,10.7,PF,0.8,2002-03,1.0,3.8,ORL,0.528
0.5,0.333,1.5,0.0,0.0,0.0,0.5,27.0,0.0,0.0,0.5,0.333,1.5,0.0,0.0,0.0,2.0,0.0,garripa01,NBA,11.0,0.0,1.0,1.0,PF,0.0,2003-04,0.0,0.0,ORL,0.333
1.0,0.465,2.2,0.7,0.333,2.1,0.4,28.0,0.1,1.5,1.7,0.402,4.3,0.4,0.879,0.5,71.0,0.0,garripa01,NBA,13.5,0.3,1.5,4.6,PF,0.3,2004-05,0.4,1.7,ORL,0.482
0.9,0.451,2.0,0.9,0.388,2.3,0.7,29.0,0.2,1.4,1.8,0.417,4.2,0.5,0.8109999999999999,0.6,57.0,0.0,garripa01,NBA,16.5,0.5,1.9,4.9,PF,0.2,2005-06,0.7,1.9,ORL,0.521
0.3,0.289,1.2,0.3,0.344,1.0,0.4,30.0,0.0,0.9,0.7,0.314,2.1,0.5,0.889,0.5,33.0,0.0,garripa01,NBA,8.4,0.4,1.1,2.2,PF,0.2,2006-07,0.4,1.3,ORL,0.393
0.6,0.442,1.4,0.3,0.21600000000000005,1.2,0.4,31.0,0.0,1.1,0.9,0.338,2.6,0.1,0.8,0.2,31.0,0.0,garripa01,NBA,9.2,0.3,1.1,2.1,PF,0.2,2007-08,0.5,1.4,ORL,0.388
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.7,0.2,0.25,0.7,0.0,0.0,0.0,6.0,0.0,garviji01,NBA,1.8,0.2,0.2,0.3,PF,0.0,1973-74,0.0,0.8,BUF,0.0
4.3,0.53,8.0,0.0,0.0,0.0,1.7,24.0,1.1,4.9,4.3,0.53,8.1,3.4,0.733,4.6,82.0,75.0,gasolma01,NBA,30.7,2.5,3.2,11.9,C,0.8,2008-09,2.0,7.4,MEM,0.53
5.5,0.5820000000000001,9.4,0.0,0.0,0.0,2.4,25.0,1.6,6.3,5.5,0.581,9.4,3.7,0.67,5.4,69.0,69.0,gasolma01,NBA,35.8,3.0,3.7,14.6,C,1.0,2009-10,2.0,9.3,MEM,0.581
4.5,0.528,8.4,0.0,0.429,0.1,2.5,26.0,1.7,5.1,4.5,0.527,8.5,2.7,0.748,3.6,81.0,81.0,gasolma01,NBA,31.9,1.9,3.3,11.7,C,0.9,2010-11,1.8,7.0,MEM,0.529
5.5,0.489,11.2,0.0,0.083,0.2,3.1,27.0,1.9,7.1,5.5,0.482,11.4,3.6,0.748,4.9,65.0,65.0,gasolma01,NBA,36.5,1.8,3.1,14.6,C,1.0,2011-12,1.9,8.9,MEM,0.483
5.4,0.501,10.7,0.0,0.071,0.2,4.0,28.0,1.7,5.5,5.4,0.494,10.9,3.4,0.848,4.0,80.0,80.0,gasolma01,NBA,35.0,2.3,3.2,14.1,C,1.0,2012-13,2.0,7.8,MEM,0.494
5.7,0.477,11.9,0.0,0.182,0.2,3.6,29.0,1.3,5.8,5.7,0.473,12.1,3.1,0.768,4.1,59.0,59.0,gasolma01,NBA,33.4,1.4,2.5,14.6,C,1.0,2013-14,1.9,7.2,MEM,0.474
6.5,0.5,13.0,0.0,0.17600000000000002,0.2,3.8,30.0,1.6,6.4,6.5,0.494,13.2,4.3,0.795,5.4,81.0,81.0,gasolma01,NBA,33.2,1.4,2.6,17.4,C,0.9,2014-15,2.2,7.8,MEM,0.496
6.3,0.463,13.5,0.0,0.667,0.1,3.8,31.0,1.3,5.8,6.3,0.464,13.6,3.9,0.8290000000000001,4.7,52.0,52.0,gasolma01,NBA,34.4,1.1,2.7,16.6,C,1.0,2015-16,2.3,7.0,MEM,0.465
5.8,0.48,12.1,1.4,0.388,3.6,4.6,32.0,1.3,5.5,7.2,0.459,15.7,3.8,0.8370000000000001,4.5,74.0,74.0,gasolma01,NBA,34.2,0.8,2.3,19.5,C,0.9,2016-17,2.2,6.3,MEM,0.503
4.5,0.456,9.8,1.5,0.341,4.4,4.2,33.0,1.4,7.0,5.9,0.42,14.2,3.8,0.8340000000000001,4.6,73.0,73.0,gasolma01,NBA,33.0,1.1,2.5,17.2,C,0.7,2017-18,2.7,8.1,MEM,0.473
6.7,0.519,12.9,0.0,0.2,0.1,2.7,21.0,2.1,6.0,6.7,0.518,13.0,4.1,0.7090000000000001,5.8,82.0,79.0,gasolpa01,NBA,36.7,2.9,2.4,17.6,C,0.5,2001-02,2.7,8.9,MEM,0.518
6.9,0.514,13.5,0.0,0.1,0.1,2.8,22.0,1.8,6.4,6.9,0.51,13.6,5.1,0.736,6.9,82.0,82.0,gasolpa01,NBA,36.0,2.3,2.7,19.0,PF,0.4,2002-03,2.6,8.8,MEM,0.51
6.4,0.485,13.3,0.1,0.267,0.2,2.5,23.0,1.7,5.1,6.5,0.482,13.4,4.7,0.7140000000000001,6.6,78.0,78.0,gasolpa01,NBA,31.5,2.6,2.4,17.7,PF,0.6,2003-04,2.4,7.7,MEM,0.484
6.4,0.517,12.3,0.0,0.16699999999999998,0.1,2.4,24.0,1.7,5.0,6.4,0.514,12.4,5.0,0.768,6.6,56.0,53.0,gasolpa01,NBA,32.0,2.3,2.6,17.8,PF,0.7,2004-05,2.4,7.3,MEM,0.514
7.5,0.505,14.8,0.0,0.25,0.2,4.6,25.0,1.9,6.5,7.5,0.503,14.9,5.3,0.6890000000000001,7.7,80.0,80.0,gasolpa01,NBA,39.2,2.4,2.3,20.4,PF,0.6,2005-06,2.9,8.9,MEM,0.504
7.8,0.542,14.4,0.1,0.273,0.2,3.4,26.0,2.1,7.3,7.8,0.5379999999999999,14.5,5.1,0.748,6.8,59.0,59.0,gasolpa01,NBA,36.2,2.5,2.3,20.8,C,0.5,2006-07,2.7,9.8,MEM,0.54
7.1,0.539,13.2,0.1,0.25,0.2,3.2,27.0,1.5,6.0,7.2,0.534,13.5,4.4,0.807,5.5,66.0,66.0,gasolpa01,NBA,35.6,2.3,2.1,18.9,C,0.5,2007-08,1.9,8.4,TOT,0.536
7.1,0.507,13.9,0.1,0.267,0.4,3.0,27.0,1.4,6.4,7.2,0.501,14.3,4.5,0.8190000000000001,5.5,39.0,39.0,gasolpa01,NBA,36.7,2.4,2.2,18.9,C,0.4,2007-08,2.1,8.8,MEM,0.504
7.3,0.59,12.3,0.0,0.0,0.0,3.5,27.0,1.6,5.6,7.3,0.589,12.3,4.3,0.789,5.4,27.0,27.0,gasolpa01,NBA,34.0,2.3,2.0,18.8,C,0.5,2007-08,1.6,7.8,LAL,0.589
7.3,0.5670000000000001,12.9,0.0,0.5,0.0,3.5,28.0,1.0,6.4,7.3,0.5670000000000001,12.9,4.2,0.7809999999999999,5.4,81.0,81.0,gasolpa01,NBA,37.0,3.2,2.1,18.9,C,0.6,2008-09,1.9,9.6,LAL,0.5670000000000001
7.0,0.539,12.9,0.0,0.0,0.1,3.4,29.0,1.7,7.6,7.0,0.536,13.0,4.4,0.79,5.6,65.0,65.0,gasolpa01,NBA,37.0,3.7,2.3,18.3,C,0.6,2009-10,2.2,11.3,LAL,0.536
7.2,0.53,13.6,0.0,0.333,0.0,3.3,30.0,1.6,6.9,7.2,0.529,13.7,4.3,0.823,5.2,82.0,82.0,gasolpa01,NBA,37.0,3.3,2.5,18.8,C,0.6,2010-11,1.7,10.2,LAL,0.53
7.0,0.508,13.7,0.1,0.259,0.4,3.6,31.0,1.4,7.6,7.1,0.501,14.1,3.1,0.782,4.0,65.0,65.0,gasolpa01,NBA,37.4,2.8,2.0,17.4,PF,0.6,2011-12,2.2,10.4,LAL,0.504
5.3,0.475,11.2,0.2,0.28600000000000003,0.6,4.1,32.0,1.2,6.3,5.5,0.466,11.8,2.6,0.7020000000000001,3.6,49.0,42.0,gasolpa01,NBA,33.8,2.3,1.9,13.7,PF,0.5,2012-13,2.1,8.6,LAL,0.473
7.0,0.483,14.5,0.1,0.28600000000000003,0.2,3.4,33.0,1.5,7.6,7.1,0.48,14.8,3.1,0.736,4.2,60.0,60.0,gasolpa01,NBA,31.4,2.1,2.1,17.4,C,0.5,2013-14,2.4,9.7,LAL,0.482
7.2,0.495,14.4,0.2,0.462,0.3,2.7,34.0,1.9,9.0,7.3,0.494,14.8,3.8,0.8029999999999999,4.7,78.0,78.0,gasolpa01,NBA,34.4,2.8,1.9,18.5,PF,0.3,2014-15,2.0,11.8,CHI,0.5
