39,39,,2014-01-18,25-257,NOP,,GSW,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
40,40,,2014-01-20,25-259,NOP,@,MEM,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,,2014-01-21,25-260,NOP,,SAC,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
43,42,,2014-01-24,25-263,NOP,@,DET,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
44,43,,2014-01-26,25-265,NOP,,ORL,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
45,44,,2014-01-28,25-267,NOP,@,CLE,W (+11),Inactive,,,,,,,,,,,,,,,,,,,,,
46,45,,2014-01-29,25-268,NOP,@,MIN,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
47,46,,2014-02-01,25-271,NOP,,CHI,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
48,47,,2014-02-03,25-273,NOP,,SAS,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
49,48,,2014-02-05,25-275,NOP,,ATL,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
50,49,,2014-02-07,25-277,NOP,,MIN,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
51,50,,2014-02-09,25-279,NOP,@,BRK,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,
52,51,,2014-02-10,25-280,NOP,@,TOR,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
53,52,,2014-02-12,25-282,NOP,@,MIL,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
54,53,,2014-02-19,25-289,NOP,,NYK,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
55,54,,2014-02-21,25-291,NOP,@,CHA,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
56,55,,2014-02-22,25-292,NOP,@,WAS,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
57,56,,2014-02-24,25-294,NOP,,LAC,L (-13),Inactive,,,,,,,,,,,,,,,,,,,,,
58,57,,2014-02-26,25-296,NOP,@,DAL,L (-19),Inactive,,,,,,,,,,,,,,,,,,,,,
59,58,,2014-02-28,25-298,NOP,@,PHO,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,
60,59,,2014-03-01,25-299,NOP,@,LAC,L (-32),Inactive,,,,,,,,,,,,,,,,,,,,,
61,60,,2014-03-03,25-301,NOP,@,SAC,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,61,,2014-03-04,25-302,NOP,@,LAL,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
64,62,,2014-03-07,25-305,NOP,,MIL,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
65,63,,2014-03-09,25-307,NOP,,DEN,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
66,64,,2014-03-12,25-310,NOP,,MEM,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
67,65,,2014-03-14,25-312,NOP,,POR,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
68,66,,2014-03-16,25-314,NOP,,BOS,W (+1),Inactive,,,,,,,,,,,,,,,,,,,,,
69,67,,2014-03-19,25-317,NOP,,TOR,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
70,68,,2014-03-21,25-319,NOP,@,ATL,W (+6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
71,69,,2014-03-22,25-320,NOP,,MIA,W (+10),Inactive,,,,,,,,,,,,,,,,,,,,,
72,70,,2014-03-24,25-322,NOP,,BRK,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
73,71,,2014-03-26,25-324,NOP,,LAC,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
74,72,,2014-03-28,25-326,NOP,,UTA,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
75,73,,2014-03-29,25-327,NOP,@,SAS,L (-16),Inactive,,,,,,,,,,,,,,,,,,,,,
76,74,,2014-03-31,25-329,NOP,,SAC,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
77,75,,2014-04-02,25-331,NOP,@,DEN,L (-30),Inactive,,,,,,,,,,,,,,,,,,,,,
78,76,,2014-04-04,25-333,NOP,@,UTA,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
79,77,,2014-04-06,25-335,NOP,@,POR,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
80,78,,2014-04-09,25-338,NOP,,PHO,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
81,79,,2014-04-11,25-340,NOP,@,OKC,L (-22),Inactive,,,,,,,,,,,,,,,,,,,,,
82,80,,2014-04-12,25-341,NOP,@,HOU,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
84,81,,2014-04-14,25-343,NOP,,OKC,W (+12),Inactive,,,,,,,,,,,,,,,,,,,,,
85,82,,2014-04-16,25-345,NOP,,HOU,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
