3P,3P%,3PA,AST,Age,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,GS,GmSc,Id,MP,ORB,Opp,PF,PTS,Rk,STL,TOV,TRB,Tm,Unnamed: 5,Unnamed: 7
0,0,0,0,38-357,0,2,13/01/2002,3,0.375,8,2,1,2,28,1,1.2,olajuha01,25:00:00,0,LAC,5,8,28,1,2,2,TOR,0,L (-7)
0,0,0,1,38-359,2,3,15/01/2002,3,0.75,4,0,0,0,29,1,3.8,olajuha01,21:00,0,DET,4,6,29,0,2,3,TOR,@,W (+2)
0,0,0,6,38-360,1,5,12/02/2002,8,0.4,20,6,0.75,8,47,1,14.4,jordami01,41:00:00,0,LAL,1,22,47,2,4,5,WAS,@,L (-9)
0,0,0,2,38-360,2,3,16/01/2002,2,0.286,7,2,1,2,30,1,7.8,olajuha01,31:00:00,2,HOU,3,6,30,3,1,5,TOR,0,W (+6)
0,0,0,4,38-362,0,1,14/02/2002,6,0.333,18,4,0.667,6,48,1,6.1,jordami01,33:00:00,0,SAC,0,16,48,1,3,1,WAS,@,L (-16)
0,0,0,1,38-362,0,1,18/01/2002,2,0.333,6,0,0,0,31,1,3,olajuha01,23:00,2,NJN,0,4,31,3,3,3,TOR,0,W (+12)
0,0,0,4,38-363,2,6,15/02/2002,7,0.368,19,8,0.889,9,49,1,13.3,jordami01,37:00:00,0,PHO,2,22,49,2,5,6,WAS,@,W (+1)
0,0,0,0,38-363,0,3,19/01/2002,2,0.667,3,0,0,0,32,1,4.5,olajuha01,23:00,1,CHH,2,4,32,1,0,4,TOR,@,W (+2)
0,0,0,0,39-000,2,8,21/01/2002,5,0.714,7,2,1,2,33,1,11.5,olajuha01,29:00:00,2,BOS,2,12,33,0,2,10,TOR,@,L (-9)
0,0,1,11,39-001,0,5,18/02/2002,5,0.417,12,1,0.5,2,50,1,11.3,jordami01,36:00:00,1,HOU,2,11,50,0,2,6,WAS,0,L (-13)
0,0,0,0,39-002,0,3,23/01/2002,0,0,7,2,1,2,34,1,1.1,olajuha01,15:00,3,NYK,0,2,34,1,0,6,TOR,0,L (-4)
0,0,1,6,39-004,0,5,21/02/2002,7,0.412,17,2,1,2,51,1,10.8,jordami01,37:00:00,0,NJN,2,16,51,3,4,5,WAS,0,L (-11)
0,0,0,4,39-004,2,1,25/01/2002,5,0.833,6,0,0,0,35,1,12.2,olajuha01,25:00:00,3,MIN,3,10,35,0,1,4,TOR,0,W (+7)
0,0,3,1,39-004,0,2,12/04/2002,1,0.2,5,0,0,0,69,0,-0.8,portete01,13:00,0,DET,0,2,69,0,1,2,SAS,@,W (+10)
0,0,0,1,39-005,0,1,13/04/2002,0,0,0,0,0,0,70,0,2,portete01,8:00,0,MEM,0,0,70,1,0,1,SAS,@,W (+21)
1,1,1,7,39-006,0,4,23/02/2002,13,0.52,25,10,0.833,12,52,1,25.5,jordami01,37:00:00,1,MIA,3,37,52,0,4,5,WAS,0,L (-2)
0,0,0,1,39-006,1,2,27/01/2002,4,0.571,7,0,0,1,36,1,6.6,olajuha01,14:00,1,ORL,1,8,36,1,1,3,TOR,0,W (+9)
1,0.5,2,6,39-007,0,5,24/02/2002,4,0.308,13,0,0,1,53,1,3,jordami01,30:00:00,0,MIA,2,9,53,3,6,5,WAS,@,L (-12)
0,0,0,1,39-008,1,0,16/04/2002,1,0.333,3,0,0,0,71,0,2.3,portete01,18:00,0,PHO,1,2,71,2,1,0,SAS,0,W (+24)
3,0.75,4,5,39-009,1,3,17/04/2002,3,0.375,8,0,0,0,72,0,7.9,portete01,24:00:00,0,UTA,2,9,72,2,3,3,SAS,@,W (+2)
0,0,0,2,39-031,0,1,20/03/2002,2,0.222,9,3,1,3,54,0,3.2,jordami01,16:00,0,DEN,0,7,54,2,2,1,WAS,@,W (+32)
0,0,0,4,39-032,0,4,21/03/2002,4,0.333,12,3,0.75,4,55,0,7.8,jordami01,22:00,0,UTA,0,11,55,1,1,4,WAS,@,L (-15)
0,0,0,1,39-034,1,0,24/02/2002,1,0.5,2,0,0,0,37,0,1.3,olajuha01,13:00,1,SEA,2,2,37,0,1,1,TOR,0,L (-9)
0,0,0,2,39-035,0,3,24/03/2002,6,0.353,17,2,1,2,56,0,4.2,jordami01,23:00,0,TOR,4,14,56,2,3,3,WAS,@,L (-1)
