,+/-,3P,3P%,3PA,AST,Age,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,GS,GmSc,Id,MP,ORB,Opp,PF,PTS,Rk,STL,TOV,TRB,Tm,Unnamed: 5,Unnamed: 7
12,3,0,0,1,2,25-350,1,4,26/11/2002,11,0.579,19,9,0.692,13,13,1,19.3,abdursh01,44:00:00,5,SEA,5,31,13,0,6,9,ATL,0,W (+3)
13,-15,0,0,0,2,25-351,0,5,27/11/2002,6,0.429,14,3,0.75,4,14,1,7.6,abdursh01,33:00:00,1,NOH,3,15,14,0,2,6,ATL,@,L (-12)
14,2,0,0,1,3,25-353,1,5,29/11/2002,8,0.444,18,13,0.867,15,15,1,21.3,abdursh01,45:00:00,2,MIA,3,29,15,1,3,7,ATL,0,W (+6)
16,-7,0,0,0,3,25-357,2,7,03/12/2002,4,0.364,11,3,0.375,8,17,1,6.3,abdursh01,42:00:00,2,NJN,4,11,17,2,4,9,ATL,@,L (-15)
17,10,0,0,1,3,25-359,0,4,05/12/2002,7,0.538,13,0,0,0,18,1,9.3,abdursh01,39:00:00,1,MIL,1,14,18,1,3,5,ATL,0,W (+18)
18,8,0,0,0,5,25-361,1,8,07/12/2002,9,0.6,15,5,1,5,19,1,20.3,abdursh01,44:00:00,0,DET,1,23,19,0,2,8,ATL,0,W (+2)
22,-19,0,0,0,5,26-003,0,5,14/12/2002,7,0.538,13,2,0.5,4,22,1,11.5,abdursh01,40:00:00,4,PHO,3,16,22,0,4,9,ATL,0,L (-14)
23,0,0,0,1,6,26-006,0,6,17/12/2002,5,0.455,11,10,0.833,12,23,1,22.7,abdursh01,39:00:00,4,WAS,4,20,23,2,0,10,ATL,0,L (-10)
24,-19,0,0,1,2,26-009,0,6,20/12/2002,9,0.529,17,2,1,2,24,1,16.2,abdursh01,38:00:00,3,HOU,2,20,24,0,0,9,ATL,@,L (-19)
25,2,0,0,0,2,26-010,0,3,21/12/2002,11,0.611,18,6,0.75,8,25,1,17.7,abdursh01,41:00:00,2,PHI,5,28,25,3,6,5,ATL,0,W (+2)
26,-11,0,0,0,3,26-012,0,5,23/12/2002,6,0.462,13,7,1,7,26,1,13.6,abdursh01,38:00:00,1,IND,5,19,26,2,3,6,ATL,@,L (-15)
27,7,0,0,2,2,26-016,1,9,27/12/2002,12,0.5,24,3,0.75,4,27,1,19.4,abdursh01,41:00:00,2,SAS,1,27,27,1,2,11,ATL,0,W (+2)
28,-2,0,0,1,4,26-017,0,8,28/12/2002,6,0.429,14,6,1,6,28,1,11.2,abdursh01,41:00:00,0,WAS,4,18,28,0,3,8,ATL,@,L (-8)
29,-15,0,0,1,3,26-019,0,4,30/12/2002,4,0.308,13,8,0.889,9,29,1,7.8,abdursh01,42:00:00,0,MIA,4,16,29,0,2,4,ATL,@,L (-9)
30,-23,0,0,0,3,26-021,1,8,01/01/2003,5,0.714,7,2,1,2,30,1,11.1,abdursh01,29:00:00,2,MIA,4,12,30,1,4,10,ATL,0,L (-34)
31,-1,0,0,1,1,26-024,1,6,04/01/2003,5,0.313,16,10,1,10,31,1,16.2,abdursh01,40:00:00,4,DET,4,20,31,6,5,10,ATL,0,L (-4)
32,-10,0,0,0,0,26-026,1,3,06/01/2003,6,0.667,9,3,1,3,32,1,9.7,abdursh01,36:00:00,2,NJN,6,15,32,2,4,5,ATL,0,L (-7)
33,-18,0,0,0,1,26-028,0,5,08/01/2003,2,0.25,8,3,0.75,4,33,1,3.3,abdursh01,28:00:00,1,DAL,1,7,33,0,1,6,ATL,0,L (-18)
34,0,0,0,0,1,26-030,0,5,10/01/2003,5,0.357,14,13,0.929,14,34,1,14.8,abdursh01,37:00:00,0,HOU,3,23,34,0,1,5,ATL,0,W (+9)
36,-6,0,0,1,4,26-034,0,7,14/01/2003,7,0.412,17,9,0.75,12,36,1,14.1,abdursh01,40:00:00,3,MIL,4,23,36,1,5,10,ATL,@,L (-9)
37,-15,0,0,0,1,26-035,0,5,15/01/2003,8,0.5,16,3,0.6,5,37,1,9.9,abdursh01,35:00:00,3,BOS,4,19,37,1,4,8,ATL,@,L (-20)
39,-9,0,0,0,1,26-038,2,4,18/01/2003,6,0.375,16,2,1,2,39,1,7.1,abdursh01,34:00:00,2,NYK,2,14,39,0,2,6,ATL,0,L (-3)
42,2,0,0,3,4,26-042,0,6,22/01/2003,9,0.36,25,9,0.75,12,41,1,18.8,abdursh01,55:00:00,5,POR,3,27,41,1,1,11,ATL,0,L (-2)
43,1,0,0,1,6,26-044,0,7,24/01/2003,3,0.214,14,5,0.833,6,42,1,7.7,abdursh01,33:00:00,2,SAC,5,11,42,1,1,9,ATL,0,W (+11)
44,10,0,0,0,2,26-045,1,9,25/01/2003,7,0.467,15,11,0.786,14,43,1,21.2,abdursh01,42:00:00,3,CLE,2,25,43,3,4,12,ATL,@,W (+1)
45,-2,0,0,0,2,26-048,0,9,28/01/2003,12,0.48,25,6,0.857,7,44,1,22.2,abdursh01,40:00:00,8,NYK,1,30,44,0,4,17,ATL,@,L (-5)
47,10,0,0,1,2,26-051,0,5,31/01/2003,3,0.333,9,8,0.889,9,46,1,10.7,abdursh01,35:00:00,3,CLE,2,14,46,0,2,8,ATL,0,W (+5)
48,13,0,0,0,6,26-053,0,7,02/02/2003,8,0.5,16,7,0.778,9,47,1,19.2,abdursh01,38:00:00,3,ORL,1,23,47,0,3,10,ATL,0,W (+8)
49,-19,0,0,1,1,26-054,0,8,03/02/2003,9,0.692,13,1,0.5,2,48,1,12.4,abdursh01,36:00:00,2,MIA,3,19,48,1,5,10,ATL,@,L (-20)
50,9,0,0,0,5,26-062,0,9,11/02/2003,7,0.412,17,2,1,2,49,1,13,abdursh01,38:00:00,1,GSW,2,16,49,3,3,10,ATL,0,L (-3)
51,5,0,0,1,2,26-063,2,4,12/02/2003,10,0.476,21,4,1,4,50,1,13.3,abdursh01,33:00:00,2,TOR,6,24,50,1,4,6,ATL,@,L (-1)
52,2,0,0,2,3,26-065,2,9,14/02/2003,6,0.353,17,9,0.692,13,51,1,16.4,abdursh01,46:00:00,5,IND,3,21,51,0,2,14,ATL,@,L (-1)
53,7,0,0,0,2,26-067,1,7,16/02/2003,7,0.368,19,6,0.857,7,52,1,11.9,abdursh01,39:00:00,2,IND,2,20,52,1,3,9,ATL,0,W (+13)
54,-26,0,0,0,3,26-069,0,1,18/02/2003,3,0.5,6,8,1,8,53,1,13.7,abdursh01,27:00:00,3,DAL,2,14,53,2,3,4,ATL,@,L (-26)
55,7,0,0,0,5,26-073,0,8,22/02/2003,4,0.364,11,8,1,8,54,1,14.4,abdursh01,35:00:00,2,LAC,2,16,54,0,2,10,ATL,@,W (+2)
56,-20,0,0,1,2,26-074,0,10,23/02/2003,6,0.375,16,11,0.917,12,55,1,18.4,abdursh01,37:00:00,4,GSW,4,23,55,3,4,14,ATL,@,L (-22)
57,-3,0,0,0,5,26-076,1,9,25/02/2003,5,0.5,10,5,0.833,6,56,1,15.9,abdursh01,38:00:00,2,POR,5,15,56,2,2,11,ATL,@,L (-3)
58,-4,0,0,0,2,26-077,0,6,26/02/2003,7,0.5,14,5,1,5,57,1,14.8,abdursh01,34:00:00,2,SEA,2,19,57,1,2,8,ATL,@,L (-17)
59,23,0,0,0,3,26-079,1,2,28/02/2003,5,0.333,15,2,1,2,58,1,6.8,abdursh01,33:00:00,1,CHI,2,12,58,2,2,3,ATL,@,W (+22)
60,-17,0,0,0,5,26-081,0,7,02/03/2003,8,0.615,13,6,1,6,59,1,21.8,abdursh01,38:00:00,5,MIL,1,22,59,0,3,12,ATL,@,L (-27)
61,3,0,0,2,0,26-083,0,10,04/03/2003,13,0.619,21,4,0.667,6,60,1,21.9,abdursh01,44:00:00,0,DEN,2,30,60,1,1,10,ATL,0,W (+6)
63,11,0,0,0,3,26-084,0,5,05/03/2003,9,0.563,16,5,1,5,61,1,18.9,abdursh01,42:00:00,1,CLE,2,23,61,0,0,6,ATL,@,W (+6)
64,-13,0,0,0,4,26-087,1,10,08/03/2003,9,0.5,18,4,0.8,5,62,1,19.3,abdursh01,40:00:00,2,TOR,3,22,62,1,1,12,ATL,0,L (-9)
68,-21,0,0,0,0,26-095,0,3,16/03/2003,7,0.5,14,6,1,6,66,1,16.1,abdursh01,29:00:00,2,MEM,3,20,66,3,1,5,ATL,@,L (-32)
69,-28,0,0,1,2,26-097,0,2,18/03/2003,3,0.3,10,7,0.875,8,67,1,4,abdursh01,37:00:00,2,CHI,3,13,67,1,6,4,ATL,@,L (-25)
70,11,0,0,0,1,26-098,0,6,19/03/2003,8,0.444,18,6,0.75,8,68,1,15.2,abdursh01,41:00:00,1,TOR,2,22,68,1,0,7,ATL,@,L (-1)
71,1,0,0,0,2,26-100,2,10,21/03/2003,7,0.467,15,8,1,8,69,1,20.6,abdursh01,39:00:00,1,PHI,3,22,69,3,2,11,ATL,@,W (+9)
72,-1,0,0,0,5,26-101,2,4,22/03/2003,7,0.467,15,4,1,4,70,1,14.6,abdursh01,41:00:00,2,IND,3,18,70,0,2,6,ATL,0,W (+3)
73,-16,0,0,0,2,26-104,1,6,25/03/2003,6,0.667,9,3,0.75,4,71,1,11.1,abdursh01,38:00:00,3,LAL,4,15,71,2,6,9,ATL,0,L (-17)
74,-5,0,0,0,2,26-105,0,7,26/03/2003,8,0.471,17,7,1,7,72,1,15.5,abdursh01,40:00:00,1,DET,5,23,72,2,3,8,ATL,@,L (-3)
75,-21,0,0,0,2,26-108,0,3,29/03/2003,6,0.667,9,3,1,3,73,1,12.5,abdursh01,35:00:00,1,PHI,4,15,73,0,0,4,ATL,0,L (-21)
76,6,0,0,2,4,26-113,0,6,03/04/2003,9,0.5,18,6,1,6,74,1,16.1,abdursh01,43:00:00,1,WAS,3,24,74,0,3,7,ATL,0,W (+2)
77,6,0,0,1,5,26-115,0,4,05/04/2003,8,0.421,19,3,0.75,4,75,1,14.1,abdursh01,41:00:00,3,MEM,3,19,75,2,2,7,ATL,0,W (+6)
78,-11,0,0,1,0,26-118,0,5,08/04/2003,6,0.4,15,4,1,4,76,1,8.7,abdursh01,39:00:00,3,NYK,2,16,76,0,2,8,ATL,@,L (-4)
80,22,0,0,0,3,26-121,1,11,11/04/2003,6,0.667,9,5,0.833,6,78,1,16.8,abdursh01,29:00:00,2,CLE,1,17,78,0,3,13,ATL,0,W (+20)
81,-12,0,0,0,6,26-122,0,7,12/04/2003,8,0.5,16,0,0,0,79,1,14.9,abdursh01,40:00:00,2,WAS,2,16,79,1,1,9,ATL,@,W (+1)
82,13,0,0,0,6,26-124,1,5,14/04/2003,4,0.364,11,4,0.8,5,80,1,8.7,abdursh01,30:00:00,0,ORL,3,12,80,0,2,5,ATL,0,W (+16)
84,-1,0,0,0,1,26-126,0,6,16/04/2003,3,0.3,10,4,0.667,6,81,1,1.1,abdursh01,34:00:00,0,NOH,2,10,81,0,4,6,ATL,@,L (-15)
1,-8,0,0,0,1,25-188,0,1,01/11/2002,5,0.455,11,0,0,0,2,0,4.9,alexaco02,24:00:00,2,CHI,2,10,2,0,1,3,NOH,@,L (-5)
2,-7,0,0,0,2,25-189,0,1,02/11/2002,3,0.3,10,3,0.75,4,3,0,6.5,alexaco02,24:00:00,2,MIA,1,9,3,2,1,3,NOH,0,W (+5)
3,5,0,0,0,0,25-193,0,1,06/11/2002,2,0.4,5,2,0.5,4,4,0,0,alexaco02,21:00,0,SEA,2,6,4,1,3,1,NOH,0,W (+2)
4,-4,0,0,0,0,25-195,0,2,08/11/2002,1,0.2,5,1,0.5,2,5,0,-1.7,alexaco02,17:00,0,GSW,2,3,5,0,1,2,NOH,0,W (+6)
5,5,0,0,0,0,25-197,0,1,10/11/2002,3,0.333,9,3,1,3,6,0,4.5,alexaco02,27:00:00,1,NYK,1,9,6,1,1,2,NOH,@,W (+6)
6,-4,0,0,1,1,25-199,0,1,12/11/2002,2,0.25,8,3,0.75,4,7,0,2,alexaco02,23:00,0,DET,2,7,7,1,1,1,NOH,@,L (-6)
8,-3,0,0,0,2,25-202,0,1,15/11/2002,2,0.333,6,4,0.667,6,9,0,4.5,alexaco02,21:00,2,CHI,1,8,9,1,3,3,NOH,0,W (+18)
10,-15,0,0,0,0,25-206,0,0,19/11/2002,2,0.4,5,3,1,3,11,0,3.8,alexaco02,15:00,1,PHI,3,7,11,0,0,1,NOH,0,W (+1)
12,11,0,0,0,1,25-210,1,1,23/11/2002,6,0.6,10,5,1,5,13,0,12.3,alexaco02,37:00:00,0,CLE,2,17,13,0,1,1,NOH,@,W (+13)
13,4,0,0,1,0,25-212,0,1,25/11/2002,4,0.4,10,3,0.6,5,14,0,4.1,alexaco02,33:00:00,2,PHI,1,11,14,2,4,3,NOH,@,L (-21)
16,-8,0,0,0,2,25-218,0,4,01/12/2002,1,0.167,6,4,0.667,6,17,1,0.8,alexaco02,28:00:00,0,BOS,3,6,17,2,4,4,NOH,@,L (-9)
17,14,0,0,0,5,25-220,0,2,03/12/2002,6,0.4,15,0,0,0,18,1,7.6,alexaco02,35:00:00,2,CHI,2,12,18,1,2,4,NOH,@,W (+25)
21,14,0,0,2,2,25-224,0,0,07/12/2002,1,0.2,5,0,0,0,21,0,1.5,alexaco02,21:00,0,MIL,2,2,21,2,0,0,NOH,@,W (+6)
22,-7,0,0,3,0,25-226,0,2,09/12/2002,3,0.3,10,1,0.5,2,22,0,-0.9,alexaco02,24:00:00,1,LAC,5,7,22,0,1,3,NOH,0,L (-4)
23,-6,0,0,0,0,25-229,0,0,12/12/2002,0,0,1,0,0,0,23,0,-2.7,alexaco02,7:00,0,UTA,0,0,23,0,2,0,NOH,@,W (+5)
25,-10,0,0,0,1,25-232,0,2,15/12/2002,4,0.444,9,3,0.75,4,25,0,7.4,alexaco02,21:00,2,SAC,3,11,25,2,2,4,NOH,@,L (-15)
26,-3,0,0,1,0,25-234,0,0,17/12/2002,1,0.25,4,1,1,1,26,0,-0.2,alexaco02,12:00,0,POR,2,3,26,0,0,0,NOH,@,L (-9)
27,-11,0,0,0,1,25-235,0,0,18/12/2002,1,0.5,2,0,0,0,27,0,-0.8,alexaco02,10:00,1,GSW,3,2,27,1,3,1,NOH,@,L (-5)
28,-1,0,0,0,1,25-240,0,2,23/12/2002,1,0.167,6,4,0.8,5,28,0,2.3,alexaco02,12:00,0,SAS,2,6,28,0,0,2,NOH,@,L (-5)
29,-6,0,0,1,3,25-243,0,3,26/12/2002,2,0.286,7,2,1,2,29,0,3.8,alexaco02,19:00,1,DAL,2,6,29,0,1,4,NOH,0,L (-2)
30,-7,0,0,0,2,25-245,1,2,28/12/2002,2,0.4,5,0,0,0,30,0,4.6,alexaco02,18:00,0,IND,1,4,30,1,0,2,NOH,@,L (-7)
31,-12,0,0,1,0,25-246,2,4,29/12/2002,3,0.429,7,0,0,0,31,0,3.7,alexaco02,24:00:00,0,HOU,3,6,31,0,0,4,NOH,@,L (-12)
32,-5,0,0,2,0,25-248,0,2,31/12/2002,4,0.444,9,0,0,0,32,0,3.2,alexaco02,22:00,1,IND,1,8,32,0,1,3,NOH,0,L (-3)
34,-5,0,0,0,0,25-253,0,0,05/01/2003,2,0.5,4,6,1,6,34,1,4.8,alexaco02,28:00:00,0,TOR,3,10,34,0,2,0,NOH,@,W (+15)
35,-13,0,0,1,2,25-254,0,0,06/01/2003,4,0.364,11,2,1,2,35,1,2.1,alexaco02,25:00:00,0,MEM,3,10,35,0,2,0,NOH,@,L (-4)
37,-5,0,0,1,1,25-258,0,0,10/01/2003,5,0.5,10,0,0,0,37,1,5.9,alexaco02,22:00,2,DET,3,10,37,0,0,2,NOH,0,L (-2)
38,17,0,0,1,1,25-277,0,1,29/01/2003,3,0.375,8,2,1,2,38,0,3.1,alexaco02,24:00:00,1,TOR,3,8,38,0,1,2,NOH,0,W (+21)
40,-5,0,0,0,0,25-280,0,0,01/02/2003,3,0.375,8,0,0,0,40,0,-0.3,alexaco02,15:00,1,WAS,4,6,40,0,1,1,NOH,@,L (-5)
42,6,0,0,0,0,25-282,0,0,03/02/2003,0,0,2,0,0,0,41,0,-1.8,alexaco02,7:00,0,BOS,1,0,41,1,1,0,NOH,0,W (+7)
43,-5,0,0,1,0,25-284,0,3,05/02/2003,3,0.429,7,0,0,0,42,0,2.2,alexaco02,17:00,0,SAC,0,6,42,0,1,3,NOH,0,W (+24)
44,17,0,0,1,3,25-290,0,1,11/02/2003,4,0.364,11,2,0.4,5,43,0,4.1,alexaco02,28:00:00,2,MIA,1,10,43,0,2,3,NOH,@,W (+9)
46,-6,0,0,1,2,25-293,0,0,14/02/2003,1,0.2,5,0,0,0,45,0,-0.5,alexaco02,14:00,0,MIN,2,2,45,0,0,0,NOH,@,L (-21)
47,6,0,0,1,0,25-295,0,0,16/02/2003,1,0.25,4,0,0,0,46,0,-0.1,alexaco02,7:00,1,DEN,1,2,46,0,0,1,NOH,0,W (+8)
48,-5,0,0,1,2,25-305,0,0,26/02/2003,5,0.714,7,3,1,3,47,0,10.1,alexaco02,16:00,0,MIA,1,13,47,0,1,0,NOH,0,W (+9)
49,-4,0,0,0,1,25-307,0,2,28/02/2003,2,0.286,7,3,0.75,4,48,0,3.7,alexaco02,18:00,1,DEN,2,7,48,0,0,3,NOH,@,W (+6)
50,6,0,0,1,0,25-308,0,2,01/03/2003,4,0.4,10,2,0.5,4,49,0,3,alexaco02,21:00,0,PHO,1,10,49,0,1,2,NOH,@,W (+5)
51,14,0,0,1,1,25-310,0,0,03/03/2003,3,0.3,10,3,1,3,50,0,4.1,alexaco02,20:00,2,LAC,3,9,50,2,2,2,NOH,@,W (+3)
52,1,0,0,0,3,25-314,0,0,07/03/2003,3,0.375,8,0,0,0,51,0,5,alexaco02,19:00,1,CLE,1,6,51,2,1,1,NOH,0,W (+26)
53,2,0,0,0,1,25-316,0,2,09/03/2003,1,0.25,4,2,1,2,52,0,2.5,alexaco02,14:00,0,NJN,1,4,52,0,0,2,NOH,0,L (-10)
54,0,0,0,0,0,25-319,0,1,12/03/2003,2,0.333,6,3,0.75,4,53,0,3.7,alexaco02,15:00,0,BOS,2,7,53,1,0,1,NOH,@,L (-28)
55,-3,0,0,0,0,25-321,0,2,14/03/2003,2,0.5,4,0,0,0,54,0,2.9,alexaco02,8:00,1,MIA,1,4,54,0,0,3,NOH,@,W (+4)
56,-10,0,0,0,1,25-322,0,0,15/03/2003,0,0,2,0,0,0,55,0,-1.7,alexaco02,11:00,0,ORL,0,0,55,0,1,0,NOH,@,L (-10)
58,8,0,0,1,3,25-328,0,1,21/03/2003,5,0.556,9,2,0.667,3,57,0,7.5,alexaco02,23:00,0,MIL,3,12,57,0,1,1,NOH,0,W (+15)
59,-9,0,0,0,2,25-329,0,0,22/03/2003,1,0.111,9,3,0.75,4,58,0,0.4,alexaco02,17:00,1,MIL,1,5,58,1,1,1,NOH,@,L (-8)
60,-2,0,0,0,0,25-333,0,3,26/03/2003,1,0.2,5,6,1,6,59,0,4.2,alexaco02,21:00,0,ORL,4,8,59,1,1,3,NOH,0,L (-2)
61,-1,0,0,0,1,25-337,1,1,30/03/2003,1,0.25,4,3,0.75,4,60,0,1.1,alexaco02,18:00,0,SAS,2,5,60,0,2,1,NOH,0,L (-2)
64,-6,0,0,0,0,25-340,0,0,02/04/2003,0,0,1,1,0.5,2,62,0,-0.1,alexaco02,9:00,0,NJN,0,1,62,0,0,0,NOH,0,W (+9)
65,0,0,0,2,0,25-343,0,2,05/04/2003,4,0.444,9,2,1,2,63,0,3.7,alexaco02,23:00,0,CLE,3,10,63,0,1,2,NOH,@,L (-3)
66,-4,0,0,1,1,25-347,0,0,09/04/2003,3,0.333,9,1,1,1,64,0,0.4,alexaco02,19:00,0,CLE,3,7,64,1,2,0,NOH,0,W (+19)
67,4,0,0,0,2,25-349,0,0,11/04/2003,4,0.5,8,2,1,2,65,0,7.4,alexaco02,16:00,0,DET,0,10,65,0,0,0,NOH,0,W (+4)
68,19,0,0,0,2,25-354,0,2,16/04/2003,2,0.222,9,0,0,0,66,0,0.4,alexaco02,16:00,1,ATL,2,4,66,0,0,3,NOH,0,W (+15)
0,2,0,0,0,1,24-125,1,6,30/10/2002,9,0.692,13,4,0.8,5,1,1,17,allenma01,33:00:00,1,ORL,5,22,1,0,1,7,MIA,0,L (-14)
1,-5,0,0,0,0,24-128,1,4,02/11/2002,6,0.5,12,0,0,0,2,1,6.1,allenma01,36:00:00,2,NOH,3,12,2,0,2,6,MIA,@,L (-5)
2,5,0,0,0,3,24-129,2,5,03/11/2002,4,0.364,11,7,0.875,8,3,1,12.4,allenma01,34:00:00,1,SAC,2,15,3,1,2,6,MIA,0,W (+10)
3,-12,0,0,0,0,24-131,2,1,05/11/2002,0,0,5,0,0,0,4,1,-1.7,allenma01,19:00,1,IND,4,0,4,1,0,2,MIA,0,L (-4)
4,4,0,0,0,1,24-135,4,8,09/11/2002,7,0.5,14,0,0,0,5,1,10.2,allenma01,42:00:00,3,SEA,2,14,5,0,4,11,MIA,0,L (-2)
5,-4,0,0,0,0,24-138,0,3,12/11/2002,5,0.556,9,1,0.5,2,6,1,4.3,allenma01,33:00:00,1,LAC,4,11,6,0,2,4,MIA,0,L (-19)
6,-6,0,0,0,0,24-141,0,2,15/11/2002,3,0.429,7,0,0,2,7,1,-1.2,allenma01,32:00:00,1,NJN,5,6,7,0,2,3,MIA,0,L (-9)
7,-13,0,0,0,1,24-142,1,3,16/11/2002,6,0.545,11,2,1,2,8,1,7.9,allenma01,26:00:00,3,WAS,3,14,8,0,4,6,MIA,@,L (-30)
8,9,0,0,0,4,24-145,1,10,19/11/2002,8,0.533,15,0,0,2,9,1,15.1,allenma01,43:00:00,3,MIL,1,16,9,0,1,13,MIA,@,W (+4)
9,-15,0,0,0,1,24-146,1,3,20/11/2002,2,0.182,11,0,0,0,10,1,-3.1,allenma01,32:00:00,1,DET,3,4,10,0,2,4,MIA,@,L (-11)
10,4,0,0,0,1,24-148,1,0,22/11/2002,1,0.143,7,3,0.75,4,11,1,-1.7,allenma01,25:00:00,0,DET,3,5,11,0,2,0,MIA,0,L (-3)
11,-3,0,0,0,1,24-152,1,4,26/11/2002,2,0.222,9,0,0,0,12,1,-0.2,allenma01,24:00:00,3,LAL,1,4,12,0,3,7,MIA,0,W (+12)
12,-16,0,0,0,1,24-153,3,8,27/11/2002,4,0.25,16,0,0,0,13,1,4.6,allenma01,32:00:00,4,PHI,2,8,13,2,3,12,MIA,@,L (-9)
13,-6,0,0,2,0,24-155,1,3,29/11/2002,9,0.375,24,3,0.75,4,14,1,9.5,allenma01,41:00:00,5,ATL,5,21,14,0,1,8,MIA,@,L (-6)
14,8,0,0,0,0,24-156,1,5,30/11/2002,4,0.286,14,2,1,2,15,1,2.8,allenma01,31:00:00,0,CLE,3,10,15,3,3,5,MIA,0,W (+6)
15,-8,0,0,0,0,24-158,1,3,02/12/2002,0,0,6,0,0,0,16,1,-4.1,allenma01,25:00:00,1,PHO,3,0,16,0,1,4,MIA,@,W (+10)
16,-18,0,0,0,0,24-160,2,5,04/12/2002,6,0.462,13,0,0,0,17,1,8.7,allenma01,33:00:00,1,LAC,3,12,17,1,0,6,MIA,@,L (-9)
17,-18,0,0,0,1,24-162,2,2,06/12/2002,7,0.583,12,0,0,0,18,1,8.6,allenma01,22:00,1,POR,3,14,18,0,2,3,MIA,@,L (-19)
18,-32,0,0,0,2,24-163,1,0,07/12/2002,1,0.333,3,0,0,2,19,1,0.6,allenma01,25:00:00,2,SEA,1,2,19,0,2,2,MIA,@,L (-29)
19,-11,0,0,0,2,24-166,0,3,10/12/2002,4,0.571,7,0,0,0,20,1,7.4,allenma01,27:00:00,0,MEM,4,8,20,2,0,3,MIA,0,L (-11)
21,6,0,0,0,0,24-169,1,3,13/12/2002,7,0.467,15,3,1,3,21,1,11.2,allenma01,40:00:00,3,NYK,2,17,21,0,1,6,MIA,0,L (-5)
