,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
54,53,53,2000-03-12,30-231,SAC,@,LAL,L (-3),0,16:00,2,4,.500,1,3,.333,5,5,1.000,2,1,3,1,0,0,0,2,10,9.6
55,54,54,2000-03-14,30-233,SAC,@,POR,L (-5),0,28:00,2,7,.286,1,4,.250,3,3,1.000,1,1,2,2,2,0,4,1,8,3.9
56,55,55,2000-03-15,30-234,SAC,,LAC,W (+20),0,21:00,1,1,1.000,1,1,1.000,2,2,1.000,2,1,3,2,1,0,2,2,5,6.0
57,56,56,2000-03-18,30-237,SAC,@,LAC,W (+21),0,15:00,2,5,.400,0,2,.000,2,2,1.000,1,2,3,3,1,0,0,0,6,7.7
58,57,57,2000-03-26,30-245,SAC,,LAL,L (-1),0,7:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,2,0,-2.2
59,58,58,2000-04-11,30-261,SAC,,SAS,L (-6),0,17:00,1,6,.167,0,3,.000,0,0,,0,3,3,2,1,0,1,3,2,-0.7
60,59,59,2000-04-13,30-263,SAC,,GSW,W (+23),0,11:00,1,3,.333,1,3,.333,0,0,,0,1,1,1,1,0,3,6,3,-2.1
61,60,60,2000-04-14,30-264,SAC,@,LAL,L (-7),0,17:00,0,2,.000,0,0,,0,0,,0,1,1,2,1,0,2,2,0,-1.5
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
63,61,61,2000-04-16,30-266,SAC,@,POR,L (-7),0,12:00,0,3,.000,0,2,.000,0,0,,1,0,1,1,0,0,1,0,0,-1.7
64,62,62,2000-04-19,30-269,SAC,@,UTA,L (-9),1,21:00,5,7,.714,2,2,1.000,0,0,,0,3,3,2,1,0,1,2,12,10.6
